0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:20:53 -0600] "GET /BluebirdMVC/js/angular-chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:20:53 -0600] "GET /BluebirdMVC/css/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:20:53 -0600] "GET /BluebirdMVC/js/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:20:53 -0600] "GET /BluebirdMVC/app_client/controllers/landingController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:20:53 -0600] "GET /BluebirdMVC/app_client/controllers/registerController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:20:53 -0600] "GET /BluebirdMVC/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:20:53 -0600] "GET /BluebirdMVC/app_client/controllers/loginController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:20:53 -0600] "GET /BluebirdMVC/app_client/controllers/logoutController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:20:53 -0600] "GET /BluebirdMVC/app_client/controllers/profileController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:20:54 -0600] "GET /BluebirdMVC/landing.view.html HTTP/1.1" 200 62
